name,pname,ra,dec,dist,vmag
HR 2491,Sirius,6.7525694,-16.71314306,8.6,-1.44
HR 2326,Canopus,6.39919184,-52.69571799,312.72,-0.62
HR 5340,Arcturus,14.2612076,19.18726997,36.71,-0.05
HR 5459,Rigel Kentaurus A,14.66136068,-60.83514707,4.4,-0.01
HR 7001,Vega,18.61560722,38.78299311,25.3,0.03
HR 1708,Capella,5.27813767,45.99902927,42.2,0.08
HR 1713,Rigel,5.24229756,-8.20163919,772.9,0.18
HR 2943,Procyon,7.65514946,5.22750767,11.41,0.4
HR 472,Achernar,1.62854213,-57.23666007,143.81,0.45
HR 2061,Betelgeuse,5.91952477,7.40703634,427.47,0.45
HR 5267,Hadar,14.06373459,-60.3729784,525.22,0.61
HR 7557,Altair,19.84630057,8.86738491,16.77,0.76
HR 4730,Acrux,12.44331705,-63.09905586,320.71,0.77
HR 1457,Aldebaran,4.59866679,16.50976164,65.12,0.87
HR 5056,Spica,13.41989015,-11.16124491,262.19,0.98
HR 6134,Antares,16.49012986,-26.43194608,604.01,1.06
HR 2990,Pollux,7.75537884,28.02631031,33.72,1.16
HR 8728,Fomalhaut,22.96078488,-29.62183701,25.07,1.17
HR 7924,Deneb,20.69053151,45.28033423,3229.34,1.25
HR 4853,,12.79536635,-59.68873246,352.61,1.25
HR 5460,Rigel Kentaurus B,14.66094188,-60.83947139,4.4,1.35
HR 3982,Regulus,10.13957205,11.96719513,77.49,1.36
HR 2618,Adhara,6.9770963,-28.97208931,430.86,1.5
HR 2891,Castor,7.57666793,31.88863645,51.55,1.58
HR 4763,,12.5194248,-57.11256922,87.94,1.59
HR 6527,Shaula,17.56014624,-37.10374835,702.94,1.62
HR 1790,Bellatrix,5.41885227,6.34973451,243.04,1.64
HR 1791,Alnath,5.43819386,28.60787346,131.04,1.65
HR 3685,,9.22006688,-69.71747245,111.17,1.67
HR 1903,Alnilam,5.60355904,-1.20191725,1342.24,1.69
HR 8425,Alnair,22.13718789,-46.96061593,101.42,1.73
HR 1948,Alnitak,5.67931244,-1.94257841,817.45,1.74
HR 3207,,8.15887648,-47.33661177,840.63,1.75
HR 4905,Alioth,12.9004536,55.95984301,80.93,1.76
HR 6879,Kaus Australis,18.40287397,-34.3843146,144.64,1.79
HR 1017,Mirphak,3.40537459,49.86124281,591.95,1.79
HR 4301,Dubhe,11.06217691,61.75111888,123.64,1.81
HR 2693,,7.13985723,-26.39320776,1792.11,1.83
HR 5191,Alkaid,13.79237392,49.31330288,100.7,1.85
HR 3307,,8.37524019,-59.50953829,632.1,1.86
HR 6553,,17.62197938,-42.99782155,272.03,1.86
HR 2088,,5.99215817,44.94743492,82.12,1.9
HR 6217,,16.81107382,-69.02763503,415.49,1.91
HR 2421,Alhena,6.62852842,16.39941482,104.81,1.93
HR 3485,,8.7450548,-54.70856797,79.75,1.93
HR 7790,,20.42745823,-56.73488071,183.24,1.94
HR 424,Polaris,2.52974312,89.26413805,431.43,1.97
HR 2294,,6.37832983,-17.95591658,499.48,1.98
HR 3748,Alphard,9.45979217,-8.65868335,177.26,1.99
HR 4057,Algieba,10.3328227,19.84186032,125.64,2.01
HR 617,Hamal,2.11952383,23.46277743,65.92,2.01
HR 188,Diphda,0.7264523,-17.9866841,95.82,2.04
HR 7121,Nunki,18.92108797,-26.29659428,224.32,2.05
HR 5288,,14.11147907,-36.36869575,60.94,2.06
HR 15,Alpheratz,0.13976888,29.09082805,97.07,2.07
HR 5563,Kochab,14.84510983,74.15547596,126.47,2.07
HR 337,Mirach,1.16216599,35.62083048,199.37,2.07
HR 2004,Saiph,5.79594109,-9.66960186,721.6,2.07
HR 8636,,22.71109302,-46.88456594,170.14,2.07
HR 6556,Rasalhague,17.58222354,12.56057584,46.7,2.08
HR 936,Algol,3.13614714,40.9556512,92.82,2.09
HR 603,,2.06497752,42.32984832,354.91,2.1
HR 4534,Denebola,11.81774398,14.57233687,36.18,2.14
HR 264,,0.9451392,60.71674966,613.09,2.15
HR 4819,,12.69200138,-48.95988553,130.41,2.2
HR 3165,,8.0597417,-40.00318846,1399.84,2.21
HR 3699,,9.28484122,-59.27526115,692.49,2.21
HR 5793,Alphekka,15.57810819,26.71491041,74.72,2.22
HR 5054,Mizar,13.39872773,54.92541525,78.16,2.23
HR 3634,,9.13327141,-43.43262406,573.22,2.23
HR 7796,,20.37047223,40.2566815,1524.13,2.23
HR 6705,Etamin,17.94343829,51.48895101,147.59,2.24
HR 168,Shedir,0.67510756,56.53740928,228.57,2.24
HR 1852,,5.53344437,-0.2990934,916.19,2.25
HR 21,Caph,0.15280269,59.15021814,54.46,2.28
HR 5132,,13.66479797,-53.46636269,375.76,2.29
HR 5953,,16.00555881,-22.62162024,401.68,2.29
HR 6241,,16.83617915,-34.29260982,65.43,2.29
HR 5469,,14.69882606,-47.38814127,548.17,2.3
HR 5440,,14.5917921,-42.15774562,308.57,2.33
HR 4295,Merak,11.0306641,56.38234478,79.42,2.34
HR 5505,Izar,14.74979191,27.07417383,209.75,2.35
HR 8308,Enif,21.73642787,9.87500791,672.5,2.38
HR 6580,,17.70813327,-39.02992092,463.96,2.39
HR 99,Ankaa,0.43801871,-42.30512197,77.4,2.4
HR 4554,Phad,11.89715035,53.69473296,83.65,2.41
HR 6378,,17.17296177,-15.72514757,84.13,2.43
HR 8775,Scheat,23.06287038,28.08245462,199.24,2.44
HR 8162,Alderamin,21.30960598,62.58545529,48.8,2.45
HR 2827,,7.40158473,-29.30311979,3197.68,2.45
HR 3734,,9.36856367,-55.01069531,539.11,2.47
HR 7949,,20.77012006,33.96945334,72.06,2.48
HR 8781,Markab,23.07933801,15.20536786,139.62,2.49
HR 911,Menkar,3.03799418,4.08992539,220.08,2.54
HR 6175,,16.61931389,-10.5671518,458.09,2.54
HR 5231,,13.92567635,-47.28826634,384.63,2.55
HR 4357,,11.23511447,20.52403384,57.71,2.56
HR 5984,,16.0906208,-19.80539286,530.35,2.56
HR 1865,Arneb,5.54550386,-17.82229227,1284.11,2.58
HR 4621,,12.13931767,-50.72240999,395.35,2.58
HR 4662,,12.26346329,-17.5419837,164.9,2.58
HR 7194,,19.04353428,-29.88011429,89.09,2.6
HR 5685,,15.28346439,-9.38286694,160.04,2.61
HR 5854,Unukalhai,15.7377766,6.42551971,73.23,2.63
HR 553,,1.91065251,20.80829949,59.58,2.64
HR 1956,,5.66081665,-34.07404941,268.23,2.65
HR 2095,,5.99534393,37.21276409,173.21,2.65
HR 4786,,12.57312057,-23.39662306,139.74,2.65
HR 403,,1.43016751,60.23540347,99.41,2.66
HR 5235,,13.91142116,18.39858742,36.99,2.68
HR 5571,,14.97554279,-43.13386699,523.54,2.68
HR 1577,,4.94989339,33.16613537,512.03,2.69
HR 4216,,10.77947836,-49.42012517,115.74,2.69
HR 4798,,12.61974547,-69.13553358,305.68,2.69
HR 6508,,17.512733,-37.29574016,518.54,2.7
HR 2773,,7.28571226,-37.09748689,1094.51,2.71
HR 7525,Tarazed,19.77099171,10.61326869,460.68,2.72
HR 6859,,18.34989489,-29.82803914,305.68,2.72
HR 6056,,16.23910173,-3.69397562,170.23,2.73
HR 6132,,16.39986301,61.51407536,87.73,2.73
HR 4199,,10.71595186,-64.39447937,438.98,2.74
HR 4825,,12.69444503,-1.44952231,38.59,2.74
HR 1899,,5.59055031,-5.90989984,1325.87,2.75
HR 5028,,13.34335154,-36.71208109,58.62,2.75
HR 5531,,14.84799369,-16.04161047,77.2,2.75
HR 6603,,17.72454914,4.56691684,81.99,2.76
HR 6406,Rasalgethi,17.24412845,14.39025314,382.37,2.78
HR 1666,,5.13084276,-5.08626282,88.85,2.78
HR 6148,,16.50368379,21.4896485,147.79,2.78
HR 4656,,12.25243248,-58.74890179,364.02,2.79
HR 6536,,17.5072158,52.30135901,361.6,2.79
HR 5776,,15.58568343,-41.16669497,567.24,2.8
HR 1829,Nihal,5.47075731,-20.75923214,159.18,2.81
HR 6212,,16.68818808,31.60188695,35.21,2.81
HR 98,,0.42755612,-77.25503511,24.38,2.82
HR 6165,,16.59804428,-28.21596156,429.73,2.82
HR 6913,,18.46618597,-25.42124732,77.29,2.82
HR 39,Algenib,0.22059721,15.18361593,333.16,2.83
HR 3185,,8.12575059,-24.30443677,62.74,2.83
HR 5897,,15.91911334,-63.42974973,40.15,2.83
HR 1203,,3.90219957,31.88365776,982.42,2.84
HR 6461,,17.42166588,-55.52982397,602.89,2.84
HR 6510,,17.53070044,-49.87598159,242.32,2.84
HR 1165,Alcyone,3.79140671,24.10524193,367.72,2.85
HR 4932,Vindemiatrix,13.03632237,10.95910186,102.25,2.85
HR 2890,,7.576977829,31.89188279,51.55,2.85
HR 8322,,21.78396813,-16.12656595,38.56,2.85
HR 591,,1.97940884,-61.56992444,71.31,2.86
HR 7528,,19.74956725,45.13069195,171.03,2.86
HR 2286,,6.3826642,22.51385027,231.81,2.87
HR 5671,,15.31519133,-68.67946723,182.72,2.87
HR 8502,,22.30838283,-60.25949486,198.64,2.87
HR 897,,2.97103212,-40.30473491,161.31,2.88
HR 7264,,19.1627316,-21.02352534,440.17,2.88
HR 2845,,7.45252008,8.28940893,170.23,2.89
HR 4915,,12.9338447,38.31824617,110.19,2.89
HR 5944,,15.98086685,-26.1140428,459.38,2.89
HR 1220,,3.96422809,40.01027315,538.22,2.9
HR 6084,,16.35314514,-25.59275259,734.6,2.9
HR 8232,,21.52597796,-5.57115593,611.94,2.9
HR 915,,3.07994173,53.50645031,256.42,2.91
HR 3890,,9.78503822,-65.07201888,1622.7,2.92
HR 8650,,22.71670238,30.22130866,214.86,2.93
HR 2553,,6.83226023,-50.61439973,182.72,2.94
HR 4757,,12.4977731,-16.51509397,87.89,2.94
HR 8414,,22.09639591,-0.31982656,758.52,2.95
HR 1231,,3.96714724,-13.50824471,221.13,2.97
HR 1910,,5.62741229,21.14259299,417.09,2.97
HR 3873,,9.76419511,23.77427792,250.7,2.97
HR 6746,,18.09681239,-30.42365007,96.1,2.98
HR 5020,,13.31534816,-23.17141246,132.1,2.99
HR 6615,,17.79307809,-40.12698197,1792.11,2.99
HR 7235,,19.09017012,13.86370983,83.25,2.99
HR 622,,2.15903358,34.98739204,124.3,3
HR 4335,,11.16107206,44.49855337,146.85,3
HR 5735,,15.34548589,71.83397308,480.36,3
HR 6247,,16.86451079,-38.04732717,821.57,3
HR 8353,,21.8987928,-37.3648229,202.96,3
HR 1122,,3.71541169,47.7876533,527.77,3.01
HR 2282,,6.33855198,-30.06337656,336.25,3.02
HR 2653,,7.05040932,-23.83330131,2568.22,3.02
HR 4630,,12.16875718,-22.61979211,303.41,3.02
HR 1605,,5.032815,43.82331397,2038.52,3.03
HR 4844,,12.77135267,-68.10809405,311.22,3.04
HR 5435,,14.53465494,38.30788348,85.18,3.04
HR 7417,,19.51202368,27.9596948,385.54,3.05
HR 7776,,20.35017956,-14.78140119,344.05,3.05
HR 2473,,6.73220272,25.13115531,903.5,3.06
HR 4069,,10.37216756,41.4994335,248.79,3.06
HR 7310,,19.20920972,67.66131695,100.23,3.07
HR 6832,,18.29381366,-36.76128103,149.14,3.1
HR 3547,,8.92324579,5.9455277,150.72,3.11
HR 4232,,10.82706446,-16.19413208,138.56,3.11
HR 4467,,11.59636896,-63.01982488,409.75,3.11
HR 7869,,20.62610824,-47.29166239,101.26,3.11
HR 2040,,5.84932022,-35.76929225,85.97,3.12
HR 3569,,8.98689965,48.04234956,47.74,3.12
HR 6285,,16.97700854,-55.99005508,574.23,3.12
HR 6410,,17.25053449,24.83958739,78.5,3.12
HR 5576,,14.9860275,-42.10414199,539.11,3.13
HR 3705,,9.35096077,34.39252592,222.03,3.14
HR 3803,,9.52037604,-57.0343916,237.73,3.16
HR 6418,,17.25079285,36.80915527,366.89,3.16
HR 2451,,6.62935324,-43.19592394,423.04,3.17
HR 3775,,9.54786812,51.67860208,43.99,3.17
HR 6396,,17.1464514,65.71463676,339.75,3.17
HR 7039,,18.76093138,-26.9907794,230.67,3.17
HR 1641,,5.10857473,41.23464074,219.34,3.18
HR 5463,,14.70852362,-64.97456957,53.5,3.18
HR 1543,,4.83059395,6.96124744,26.18,3.19
HR 1654,,5.09101447,-22.37085673,226.66,3.19
HR 6299,,16.96118627,9.37505626,85.86,3.19
HR 6630,,17.83095867,-37.04337105,126.86,3.19
HR 8115,,21.21560598,30.22708128,150.86,3.21
HR 8974,,23.65582834,77.63196681,44.99,3.21
HR 5695,,15.35620455,-40.64745946,510.43,3.22
HR 6075,,16.30534466,-4.69260809,107.5,3.23
HR 6869,,18.35525571,-2.897122,61.76,3.23
HR 8238,,21.47765973,70.56069481,595.19,3.23
HR 2550,,6.80320475,-61.94197988,98.96,3.24
HR 7710,,20.18840688,-0.82147569,287.12,3.24
HR 2878,,7.48718842,-43.30189129,183.86,3.25
HR 5287,,14.10618582,-26.68201883,101.39,3.25
HR 5603,,15.06785052,-25.28185602,292,3.25
HR 7178,,18.98239571,32.68955312,634.56,3.25
HR 1208,,3.78728653,-74.23924251,214.16,3.26
HR 165,,0.65544371,30.86122579,101.32,3.27
HR 6453,,17.36682891,-24.99948797,563.32,3.27
HR 8709,,22.91084423,-15.82075994,159.57,3.27
HR 1702,,5.2155203,-16.20542901,184.38,3.29
HR 4037,,10.22896636,-70.03792169,370.22,3.29
HR 5744,,15.41549558,58.96602354,102.18,3.29
HR 1465,,4.56658845,-55.04500559,175.73,3.3
HR 4140,,10.5337455,-61.68536031,497.2,3.3
HR 2216,,6.2479713,22.50682376,349.21,3.31
HR 6462,,17.42323884,-56.37768824,1136.46,3.31
HR 322,,1.10141847,-46.71849042,198.16,3.32
HR 921,,3.08624916,38.84053298,325.19,3.32
HR 4660,,12.25706919,57.03259792,81.44,3.32
HR 6380,,17.20254886,-43.23849039,71.59,3.32
HR 6698,,17.9837771,-9.77334973,152.77,3.32
HR 7234,,19.11567841,-27.66981416,120.4,3.32
HR 1336,,4.24039753,-62.47397888,163.24,3.33
HR 4359,,11.23734469,15.4297631,177.65,3.33
HR 3045,,7.82157187,-24.85978401,1347.78,3.34
HR 542,,1.90657873,63.67014686,441.96,3.35
HR 1788,,5.40794918,-2.39713844,901,3.35
HR 2484,,6.75484265,12.89605513,57.2,3.35
HR 3323,,8.50445282,60.7184311,183.65,3.35
HR 7377,,19.42493129,3.11457923,50.14,3.36
HR 5708,,15.37802431,-44.68957314,504.12,3.37
HR 3482,,8.77962395,6.41890691,135.17,3.38
HR 5107,,13.5782652,-0.59593821,73.21,3.38
HR 1879,,5.58563269,9.93416294,1055.54,3.39
HR 4050,,10.28472369,-61.33231977,736.26,3.39
HR 4910,,12.92680091,3.39759862,202.46,3.39
HR 8465,,22.18090608,58.20124992,726.42,3.39
HR 1412,,4.47768747,15.8709468,149,3.4
HR 429,,1.47276157,-43.31772906,233.98,3.41
HR 1239,,4.01133906,12.49037571,370.22,3.41
HR 5190,,13.82508261,-41.68765971,474.76,3.41
HR 5649,,15.20477865,-52.09907465,116.24,3.41
HR 7957,,20.75479684,61.83679404,46.78,3.41
HR 8634,,22.69102078,10.83139111,208.54,3.41
HR 544,,1.88469439,29.57939727,64.12,3.42
HR 5948,,16.00203902,-38.39664079,493.44,3.42
HR 6623,,17.77436636,27.72249917,27.4,3.42
HR 7913,,20.74932102,-66.20323826,137.56,3.42
HR 3659,,9.18280702,-58.96693014,418.69,3.43
HR 4031,,10.27816787,23.4173284,259.68,3.43
HR 7236,,19.10415275,-4.88233456,125.21,3.43
HR 4033,,10.2849797,42.91446855,134.39,3.45
HR 219,,0.8180835,57.8165477,19.42,3.46
HR 334,,1.14312879,-10.181928,117.62,3.46
HR 3117,,7.94631715,-52.98240062,386.91,3.46
HR 5681,,15.25836216,33.31510222,116.74,3.46
HR 804,,2.72170126,3.23617162,81.99,3.47
HR 5193,,13.82694662,-42.47368506,526.92,3.47
HR 3975,,10.12220929,16.76266572,2131.79,3.48
HR 6220,,16.71492737,38.92246103,112.05,3.48
HR 509,,1.73475762,-15.93955597,11.9,3.49
HR 2646,,7.02865325,-27.93484165,1217.03,3.49
HR 4377,,11.30798759,33.09423881,421.4,3.49
HR 5602,,15.03244253,40.39063671,218.75,3.49
HR 6897,,18.44956396,-45.96832919,249.36,3.49
HR 8675,,22.80922142,-51.31670354,129.64,3.49
HR 2538,,6.83068485,-32.50848752,789.74,3.5
HR 2777,,7.33538592,21.98233941,58.82,3.5
HR 8694,,22.82803115,66.20071089,115.37,3.5
HR 7635,,19.97927434,19.49209287,274.09,3.51
HR 8684,,22.8333612,24.60168486,116.7,3.51
HR 1136,,3.72082113,-9.76519868,29.5,3.52
HR 3852,,9.68586607,9.89239902,135.23,3.52
HR 3940,,9.94770968,-54.5677973,1929.96,3.52
HR 4826,,12.69468965,-1.449330134,38.59,3.52
HR 7106,,18.83466497,33.36267788,881.52,3.52
HR 7150,,18.96216103,-21.10662433,372.33,3.52
HR 8450,,22.16994993,6.197789,96.58,3.52
HR 1409,,4.47692591,19.18052092,155.02,3.53
HR 3249,,8.2752634,9.18566295,290.44,3.53
HR 4450,,11.55007195,-31.85752405,129.28,3.54
HR 5881,,15.82701825,-3.43014112,155.76,3.54
HR 6561,,17.62645145,-15.39840835,105.45,3.54
HR 1347,,4.29822737,-33.79833145,178.52,3.55
HR 1998,,5.78259715,-14.82194717,70.19,3.55
HR 5354,,14.32339798,-46.05808391,351.85,3.55
HR 6927,,18.35064971,72.73369763,26.28,3.55
HR 7665,,20.14496114,-66.17932101,19.92,3.55
HR 74,,0.32380084,-8.82382948,289.67,3.56
HR 674,,2.27513896,-51.51211145,154.87,3.56
HR 4382,,11.3223674,-14.77904358,194.72,3.56
HR 6252,,16.87226486,-38.01747781,516.9,3.56
HR 2985,,7.74079682,24.39812929,143.49,3.57
HR 3594,,9.06043299,47.15665934,423.04,3.57
HR 5429,,14.53051606,30.37114497,148.8,3.57
HR 5705,,15.36345457,-36.26116729,326.49,3.57
HR 2763,,7.30155744,16.54047526,94.29,3.58
HR 7754,,20.30089401,-12.54485877,108.68,3.58
HR 464,,1.6331951,48.62848641,173.86,3.59
HR 1735,,5.29344415,-6.84438616,554.7,3.59
HR 1983,,5.74110416,-22.44748663,29.25,3.59
HR 4540,,11.8448017,1.76537705,35.55,3.59
HR 4700,,12.35605869,-60.40136988,228.09,3.59
HR 402,,1.40040311,-8.18275372,114.52,3.6
HR 2540,,6.87981668,33.96136985,196.6,3.6
HR 3447,,8.67155811,-52.92197259,494.94,3.6
HR 3786,,9.51169804,-40.46688763,60.52,3.6
HR 5794,,15.61707183,-28.13507099,194.61,3.6
HR 6500,,17.51832693,-60.68360667,187.23,3.6
HR 838,,2.8330526,27.26079044,159.49,3.61
HR 1030,,3.413566,9.02906504,211.52,3.61
HR 3994,,10.17649919,-12.35383921,114.68,3.61
HR 4923,,13.03771597,-71.54879865,90.83,3.61
HR 6582,,17.76222289,-64.7237345,371.06,3.61
HR 437,,1.52472051,15.34583101,294.11,3.62
HR 1178,,3.81936977,24.05352412,380.59,3.62
HR 3017,,7.75425108,-37.96859848,1387.93,3.62
HR 6271,,16.90975143,-42.36075916,150.51,3.62
HR 8762,,23.03201291,42.32597866,692.49,3.62
HR 4520,,11.76015759,-66.72884344,128.31,3.63
HR 7882,,20.62579715,14.59520289,97.39,3.64
HR 1346,,4.32987052,15.62770031,154.07,3.65
HR 3757,,9.52543601,63.06179545,75.5,3.65
HR 5867,,15.76978191,15.42192602,153.06,3.65
HR 6743,,18.11052188,-50.09145462,1012.93,3.65
HR 8558,,22.48050015,-0.02006304,103.45,3.65
HR 5747,,15.46384775,29.10549164,114.04,3.66
HR 5812,,15.64427343,-29.77768935,444.97,3.66
HR 5291,,14.07317389,64.37580873,308.87,3.67
HR 7986,,20.91349433,-58.4540947,602.89,3.67
HR 1552,,4.853435,5.60510146,1259.32,3.68
HR 3468,,8.72654096,-33.18641133,844.98,3.68
HR 7536,,19.78979589,18.53425912,448.03,3.68
HR 8812,,23.15743391,-21.17248555,233.64,3.68
HR 153,,0.61618528,53.89693161,597.37,3.69
HR 566,,1.93245347,-51.60958673,57.03,3.69
HR 1612,,5.04130001,41.07588953,787.83,3.69
HR 3884,,9.75411876,-62.50792328,1510.02,3.69
HR 4518,,11.76753725,47.77933701,196.01,3.69
HR 8278,,21.66815062,-16.66225343,138.91,3.69
HR 1003,,3.32526935,-21.7579421,258.24,3.7
HR 6703,,17.96273073,29.24792527,135.23,3.7
HR 8852,,23.28597045,3.28224524,130.88,3.7
HR 1567,,4.90419323,2.44067149,1342.24,3.71
HR 2085,,5.94008841,-14.16803805,49.07,3.71
HR 3080,,7.87029041,-40.57579889,344.78,3.71
HR 5892,,15.84691422,4.4775798,70.31,3.71
HR 6771,,18.12250574,9.56365345,82.78,3.71
HR 7602,,19.92187948,6.40793334,44.71,3.71
