name,pname,ra,dec,dist,vmag
HR 1084,,3.549006,-9.45830584,10.5,3.72
HR 1142,,3.7479232,24.1134484,370.64,3.72
HR 2077,,5.99209731,54.28498197,140.47,3.72
HR 8079,,21.08218216,43.92785122,1177.48,3.72
HR 1038,,3.45281136,9.7327724,222.18,3.73
HR 5511,,14.77083106,1.8929383,128.66,3.73
HR 6688,,17.8921193,56.87245216,111.47,3.73
HR 8254,,21.69124253,-77.38946215,69.07,3.73
HR 8698,,22.87690679,-7.57967878,391.55,3.73
HR 539,,1.85766961,-10.33494526,259.07,3.74
HR 6095,,16.36534546,19.15302185,195.42,3.74
HR 8130,,21.24648517,38.04432043,68.24,3.74
HR 3614,,9.0692557,-47.09771376,309.16,3.75
HR 6629,,17.79821501,2.70745875,94.76,3.75
HR 1922,,5.5604212,-62.48985585,1038.74,3.76
HR 2035,,5.85532022,-20.87751376,112.28,3.76
HR 2356,,6.48029836,-7.03305042,691.02,3.76
HR 7217,,19.07803717,-21.74135451,138.85,3.76
HR 7420,,19.49509425,51.72946747,122.48,3.76
HR 8585,,22.52149326,50.28244976,102.37,3.76
HR 834,,2.84494243,55.89552955,1331.28,3.77
HR 1135,,3.75323428,42.57854437,556.59,3.77
HR 1373,,4.38222981,17.5425843,153.2,3.77
HR 1931,,5.64576814,-2.60006791,1148.46,3.77
HR 3347,,8.42895729,-66.13652042,107.97,3.77
HR 3445,,8.67710424,-46.64875492,3106.32,3.77
HR 6229,,16.82975317,-59.04131648,313.32,3.77
HR 7906,,20.66062626,15.9120527,240.71,3.77
HR 8204,,21.44445214,-22.41137838,398.25,3.77
HR 8430,,22.11679848,25.3450461,38.35,3.77
HR 2736,,7.14578458,-70.49919435,141.69,3.78
HR 2821,,7.42879891,27.79828561,125.93,3.78
HR 3888,,9.84991436,59.03910437,115.05,3.78
HR 4257,,10.89154617,-58.85326474,96.76,3.78
HR 5477,,14.68581121,13.72833113,180.5,3.78
HR 7950,,20.79459238,-9.49568988,229.53,3.78
HR 941,,3.1582303,44.85788896,112.28,3.79
HR 4247,,10.88851107,34.21556641,97.65,3.79
HR 963,,3.20118888,-28.98910623,46.03,3.8
HR 2948,,7.64718924,-26.8038924,454.27,3.8
HR 5788,,15.58005284,10.53885916,209.89,3.8
HR 7328,,19.28503052,53.36816064,123.17,3.8
HR 7735,,20.22719518,46.74132417,1353.37,3.8
HR 1464,,4.59251991,-30.56231049,208.81,3.81
HR 4114,,10.4646514,-58.73940856,1042.06,3.81
HR 5849,,15.71239951,26.29551419,145.09,3.81
HR 8961,,23.62602991,46.45917621,84.19,3.81
HR 595,,2.03411128,2.76376048,139.09,3.82
HR 3690,,9.31407426,36.80289763,121.93,3.82
HR 4434,,11.52341346,69.33112161,334.18,3.82
HR 6149,,16.51523367,1.98410056,166.16,3.82
HR 6588,,17.65774789,46.00632216,495.69,3.82
HR 4094,,10.43486251,-16.83609584,248.22,3.83
HR 5248,,13.97119018,-42.10070526,465.28,3.83
HR 5470,,14.79770171,-79.04471242,411.3,3.83
HR 1131,,3.73864623,32.28827325,1475.85,3.84
HR 1175,,3.73654302,-64.80709398,99.71,3.84
HR 1411,,4.4762312,15.96221721,157.87,3.84
HR 3571,,8.91746157,-60.64471195,312.12,3.84
HR 4133,,10.5468542,9.30659431,5722.16,3.84
HR 4167,,10.62173798,-48.22561631,86.49,3.84
HR 4773,,12.54114193,-72.1329759,323.9,3.84
HR 6779,,18.12570854,28.76247025,347.35,3.84
HR 6812,,18.2293913,-21.05883031,29651.21,3.84
HR 7582,,19.8028371,70.26783533,145.61,3.84
HR 1326,,4.23335592,-42.29387294,117.11,3.85
HR 2020,,5.7880787,-51.06671329,62.88,3.85
HR 2296,,6.36856809,-33.43627251,237.21,3.85
HR 4023,,10.24563159,-42.12206281,102.83,3.85
HR 4787,,12.55806736,69.78820992,497.96,3.85
HR 4802,,12.62842439,-48.54128816,131.68,3.85
HR 5933,,15.94083173,15.66473327,36.27,3.85
HR 6895,,18.39493521,21.77034249,128.41,3.85
HR 6973,,18.58678829,-8.24330819,174.23,3.85
HR 269,,0.94586046,38.49925513,136.3,3.86
HR 1481,,4.63635303,-14.303587,109.3,3.86
HR 1862,,5.5202043,-35.47043592,277.11,3.86
HR 6030,,16.25729615,-63.68564897,621.26,3.86
HR 6102,,16.55762893,-78.89695917,159.57,3.86
HR 6695,,17.93754959,37.25052158,669.74,3.86
HR 8518,,22.36091665,-1.38735315,157.8,3.86
HR 1149,,3.76377586,24.36785796,360,3.87
HR 3487,,8.7671263,-46.0415392,1553.16,3.87
HR 5249,,13.97799204,-44.8035314,417.62,3.87
HR 5487,,14.71765618,-5.6574291,60.92,3.87
HR 5928,,15.94807962,-29.21401221,409.24,3.87
HR 7570,,19.8745455,1.00567827,1173.25,3.87
HR 25,,0.15681663,-45.74698836,140.1,3.88
HR 546,,1.892157,19.29409264,204.36,3.88
HR 3905,,9.87943268,26.00708498,133.02,3.88
HR 5646,,15.19893362,-48.73770212,182.32,3.88
HR 8820,,23.17261887,-45.24664747,185,3.88
HR 874,,2.94044549,-8.89760976,133.18,3.89
HR 2580,,6.90220967,-24.18422296,1976.75,3.89
HR 3665,,9.23938701,2.31502422,128.71,3.89
HR 4689,,12.33177539,-0.66674709,249.74,3.89
HR 7615,,19.93844337,35.08349079,139.39,3.89
HR 3845,,9.66425943,-1.14265722,275.71,3.9
HR 4390,,11.35012284,-54.49101395,321.34,3.9
HR 5089,,13.5174079,-39.40727983,1254.47,3.9
HR 1251,,4.05260466,5.98930909,129.22,3.91
HR 3314,,8.42768636,-3.90636482,125.01,3.91
HR 4743,,12.46733655,-50.2306048,443.16,3.91
HR 5605,,15.08530713,-47.05119386,497.2,3.91
HR 5787,,15.59209426,-14.78955365,152.27,3.91
HR 6092,,16.3290133,46.31327084,314.53,3.91
HR 6324,,17.00483505,30.92633926,162.76,3.92
HR 7340,,19.36121535,-17.84725155,121.75,3.92
HR 8131,,21.26372131,5.2480739,186.27,3.92
HR 100,,0.43669894,-43.67990933,76.73,3.93
HR 440,,1.5208282,-49.07307701,147.25,3.93
HR 854,,2.90429513,52.76248991,248.03,3.93
HR 1463,,4.60531682,-3.352448,586.62,3.93
HR 3024,,7.69699889,-72.60613528,133.89,3.93
HR 4337,,11.14316545,-58.97504198,5930.24,3.93
HR 5993,,16.11345346,-20.66913479,423.59,3.93
HR 6714,,18.01075431,2.93158759,1418.1,3.93
HR 338,,1.13973891,-55.24583235,279.73,3.94
HR 2970,,7.68746574,-9.55108315,144.26,3.94
HR 2996,,7.73013114,-28.9548352,32616334.4,3.94
HR 3461,,8.7447528,18.15486399,136.07,3.94
HR 8028,,20.95289212,41.16719384,355.69,3.94
HR 580,,2.05727509,72.42123962,162.11,3.95
HR 2429,,6.61138858,-19.25570928,64.7,3.95
HR 5055,,13.39889854,54.92089219,78.78,3.95
HR 1273,,4.14435368,47.71259359,553.76,3.96
HR 2120,,5.98577514,-42.81510761,531.21,3.96
HR 3579,,9.01076451,41.78344401,53.59,3.96
HR 3663,,9.18799107,-62.31701587,499.48,3.96
HR 7337,,19.37730181,-44.45891013,378.38,3.96
HR 7348,,19.3980976,-40.61564629,169.88,3.96
HR 7751,,20.25786618,47.7142053,1109.4,3.96
HR 8892,,23.38286152,-20.10034505,161.95,3.96
HR 1393,,4.40060148,-34.01698632,272.94,3.97
HR 2012,,5.85816462,39.14847936,215.01,3.97
HR 2803,,7.28050856,-67.95717248,660.25,3.97
HR 3438,,8.66837126,-35.30830091,388.29,3.97
HR 4638,,12.19420872,-52.36841559,342.25,3.97
HR 5883,,15.84931715,-33.62710488,205.65,3.97
HR 7590,,20.00983148,-72.91018443,106.14,3.97
HR 8556,,22.48782057,-43.49555433,295.71,3.97
HR 8667,,22.77551177,23.56567939,394.87,3.97
HR 1228,,3.98274992,35.79102701,1772.63,3.98
HR 8252,,21.56635357,45.59206564,124.49,3.98
HR 585,,2.00006244,-21.07777193,300.89,3.99
HR 2227,,6.24759346,-6.27472737,644.59,3.99
HR 4102,,10.40659458,-74.03154474,52.89,3.99
HR 5062,,13.42039322,54.98799884,81.16,3.99
HR 8848,,23.29050334,-58.23592762,71.84,3.99
HR 3615,,9.04077745,-66.39584369,124.3,4
HR 4399,,11.39871355,10.52969772,79.05,4
HR 6027,,16.19992791,-19.46064684,436.63,4
HR 496,,1.72767091,50.6887655,716.84,4.01
HR 1520,,4.7583725,-3.25462465,532.08,4.01
HR 2650,,7.06848205,20.57029939,1169.04,4.01
HR 2749,,7.24685045,-26.77268601,923.98,4.01
HR 5471,,14.69933688,-37.79342394,305.11,4.01
HR 5986,,16.03158437,58.56443739,68.25,4.01
HR 6072,,16.33071322,-50.15537923,127.51,4.01
HR 6982,,18.71725939,-71.42772867,209.75,4.01
HR 7834,,20.48992526,30.36855661,758.52,4.01
HR 3518,,8.84222536,-27.71005869,208.68,4.02
HR 4623,,12.14020907,-24.72877993,48.17,4.02
HR 7176,,18.99371922,15.06847757,153.71,4.02
HR 7193,,19.02801149,-5.73901832,148.59,4.02
HR 664,,2.28856547,33.84732099,117.62,4.03
HR 1603,,5.05697146,60.44228144,997.44,4.03
HR 3475,,8.7782873,28.76000509,298.14,4.03
HR 4898,,12.90990489,-57.17789116,377.5,4.03
HR 6752,,18.09089245,2.50243928,16.59,4.03
HR 7852,,20.55354577,11.30333217,358.82,4.03
HR 9072,,23.98850066,6.86359373,105.97,4.03
HR 1298,,4.19775922,-6.8377787,125.54,4.04
HR 4517,,11.76432515,6.52981394,313.02,4.04
HR 5404,,14.42000537,51.85171354,47.52,4.04
HR 8597,,22.58925803,-0.11736123,183.55,4.04
HR 937,,3.1508009,49.61350009,34.36,4.05
HR 3318,,8.30868523,-76.91998251,63.46,4.05
HR 3477,,8.73999055,-42.64932331,228.57,4.05
HR 4386,,11.35229115,6.02935289,214.02,4.05
HR 5200,,13.82463829,15.79780583,245.42,4.05
HR 5367,,14.34263313,-37.88526711,247.28,4.05
HR 5453,,14.63145864,-49.42575765,310.34,4.05
HR 8679,,22.8265305,-13.59253756,380.14,4.05
HR 1580,,4.93953363,13.51457755,169.35,4.06
HR 2905,,7.59871452,26.89600343,240.36,4.06
HR 4405,,11.41471755,-17.68401748,83.85,4.06
HR 4671,,12.29295453,-67.96067161,302,4.06
HR 4679,,12.30730353,-64.00304555,361.2,4.06
HR 5485,,14.7276343,-35.17322549,205.26,4.06
HR 6295,,16.99306851,-53.16049005,304.26,4.06
HR 5338,,14.26691247,-5.99952622,69.78,4.07
HR 5626,,15.1473971,-45.27979406,406.69,4.07
HR 5670,,15.29193339,-58.80087882,96.64,4.07
HR 8571,,22.48617998,58.4151899,982.42,4.07
HR 215,,0.78899727,24.26737703,181.4,4.08
HR 705,,2.36250639,-68.6594239,135.34,4.08
HR 779,,2.65804119,0.3285168,647.15,4.08
HR 919,,3.03988697,-23.62433613,86.17,4.08
HR 2574,,6.90318908,-12.03859273,252.06,4.08
HR 3825,,9.57407306,-59.22976797,1976.75,4.08
HR 4287,,10.9963191,-18.29909723,174.33,4.08
HR 7157,,18.92224587,43.9458926,349.59,4.08
HR 8075,,21.09910538,-17.23271095,158.25,4.08
HR 8173,,21.36809274,19.80435581,153.92,4.08
HR 1907,,5.61509185,9.291412,116.07,4.09
HR 5879,,15.81233572,18.1417793,348.47,4.09
HR 458,,1.61332694,41.40638491,43.93,4.1
HR 799,,2.73657999,49.22866639,36.64,4.1
HR 3055,,7.82063861,-46.37322729,1964.84,4.1
HR 6905,,18.48048221,-49.07003097,127.41,4.1
HR 7259,,19.16715345,-39.34070677,508.04,4.1
HR 794,,2.6777588,-39.85530905,145.48,4.11
HR 2657,,7.06263699,-15.63325876,402.17,4.11
HR 3426,,8.62740038,-42.98910371,1436.84,4.11
HR 3903,,9.85796735,-14.84654997,273.63,4.11
HR 4174,,10.59117177,-78.60781379,413.39,4.11
HR 4522,,11.77523583,-61.17835907,434.31,4.11
HR 5771,,15.61199636,-66.31690469,216.15,4.11
HR 7254,,19.15785508,-37.90423953,129.69,4.11
HR 8747,,23.01468731,-52.75410562,112.51,4.11
HR 806,,2.65978435,-68.2669476,153.34,4.12
HR 1303,,4.24829381,48.40937312,723.2,4.12
HR 2124,,6.03971954,9.64736756,151.77,4.12
HR 4608,,12.08685266,8.73284563,170.95,4.12
HR 7581,,19.92102196,-41.8684135,189.19,4.12
HR 7980,,20.86369338,-26.91912642,628.45,4.12
HR 8560,,22.49595707,-43.74922804,324.86,4.12
HR 1784,,5.39912122,-7.80795569,174.33,4.13
HR 2343,,6.48271957,20.2121672,502.56,4.13
HR 5908,,15.89707695,-16.7296223,162.92,4.13
HR 7936,,20.76826836,-25.27051682,47.85,4.13
HR 8630,,22.76770092,-81.38161731,140.41,4.13
HR 8969,,23.66578342,5.62735374,44.98,4.13
HR 1066,,3.51454638,12.93668186,360.4,4.14
HR 1156,,3.77210009,23.94846207,359.21,4.14
HR 3410,,8.62761315,5.70379868,179.11,4.14
HR 4616,,12.11468134,-64.61363898,64.22,4.14
HR 5778,,15.5488322,31.35915517,310.93,4.14
HR 5947,,15.95980608,26.87802632,229.69,4.14
HR 8315,,21.7440845,25.64500284,115.09,4.14
HR 8498,,22.26615838,37.74873483,627.24,4.14
HR 2714,,7.19773899,-0.49278056,374.9,4.15
HR 6484,,17.39471468,37.14592396,401.68,4.15
HR 8976,,23.67345605,44.33397776,169.7,4.15
HR 2134,,6.06867126,23.26363207,150.72,4.16
HR 2852,,7.48516936,31.78407932,60.33,4.16
HR 6486,,17.43950482,-24.17502346,83.72,4.16
HR 130,,0.54999626,62.93178781,4128.65,4.17
HR 1195,,3.82424469,-36.2001125,209.89,4.17
HR 8499,,22.28054621,-7.78323706,191.41,4.17
HR 5315,,14.21492805,-10.274044,223.55,4.18
HR 5351,,14.27310454,46.08791894,97.13,4.18
HR 6166,,16.60623914,-35.25535553,338.7,4.18
HR 8494,,22.25046638,57.04346522,83.93,4.18
HR 8628,,22.67759043,-27.0436148,744.67,4.18
HR 5192,,13.82409757,-34.45063035,177.36,4.19
HR 7061,,18.76103644,20.54712356,62.28,4.19
HR 1839,,5.51306886,5.94821792,288.64,4.2
HR 3102,,7.94765507,-22.88014849,502.56,4.2
HR 4100,,10.46474791,36.70747818,146,4.2
HR 6168,,16.5683859,42.43689565,302.28,4.2
HR 8665,,22.77817819,12.17408381,53,4.2
HR 8720,,22.93247,-32.53970196,170.41,4.2
HR 1035,,3.48448178,59.94033461,4291.62,4.21
HR 1387,,4.42280521,22.29398098,153.34,4.21
HR 6322,,16.76615597,82.03725071,346.61,4.21
HR 7850,,20.49300758,62.99413722,135.68,4.21
HR 8181,,21.44069225,-65.36814438,30.06,4.21
HR 840,,2.84303172,38.31890838,127.71,4.22
HR 1173,,3.78083028,-23.248438,58.46,4.22
HR 3090,,7.88837857,-48.10294824,1941.45,4.22
HR 5987,,16.10987675,-36.80221297,410.79,4.22
HR 6118,,16.45039952,-18.45619698,489,4.22
HR 6920,,18.34595588,71.33772734,289.15,4.22
HR 7063,,18.7862437,-4.74782871,689.56,4.22
HR 7074,,18.87028792,-62.18756062,1812.02,4.22
HR 7139,,18.90841352,36.89860518,898.52,4.22
HR 7942,,20.7610442,30.7196568,205.91,4.22
HR 8143,,21.29026459,39.39469016,4530.05,4.22
HR 8834,,23.23870347,-6.0485268,222.18,4.22
HR 77,,0.33386505,-64.8776232,28.03,4.23
HR 2973,,7.72185703,28.8840717,122.25,4.23
HR 4983,,13.19803407,27.87603769,29.86,4.23
HR 5168,,13.76154628,-33.04336606,62.83,4.23
HR 5264,,14.02743976,1.54458338,218.32,4.23
HR 6023,,16.14616647,44.93481883,228.57,4.23
HR 6163,,16.71817212,-77.51657182,157.64,4.23
HR 7226,,19.10695543,-37.06275714,58.36,4.23
HR 8316,,21.72512637,58.78005308,5260.7,4.23
HR 8335,,21.77989052,49.3095748,1156.61,4.23
HR 285,,1.14559982,86.25711803,312.72,4.24
HR 721,,2.44975138,-47.70382692,528.63,4.24
HR 811,,2.73537623,-13.85867594,440.76,4.24
HR 4674,,12.30581775,-79.31226899,270.67,4.24
HR 4785,,12.5625257,41.35676779,27.3,4.24
HR 6143,,16.5230393,-34.70432087,746.37,4.24
HR 6581,,17.69025458,-12.87517268,168.04,4.24
HR 8841,,23.26479915,-9.08769554,148.46,4.24
HR 377,,1.26263759,-68.87623708,66.65,4.25
HR 1261,,4.10973758,50.35135022,346.61,4.25
HR 1454,,4.61150934,41.26485467,642.05,4.25
HR 1458,,4.59423154,10.16091706,150.44,4.25
HR 1679,,5.15243971,-8.75407607,1753.57,4.25
HR 3275,,8.38059169,43.18837233,388.75,4.25
HR 4889,,12.8905961,-40.17881857,155.09,4.25
HR 5430,,14.45875625,75.69593921,344.78,4.25
HR 8334,,21.75748035,61.12081043,5096.3,4.25
HR 1008,,3.33145134,-43.07154929,19.77,4.26
HR 335,,1.15836727,47.2418241,736.26,4.26
HR 510,,1.75655241,9.15764102,258.24,4.26
HR 1088,,3.56312442,-21.63281597,295.97,4.26
HR 1338,,4.26708095,-51.48709578,66.21,4.26
HR 1542,,4.90083628,66.34266029,6939.65,4.26
HR 3572,,8.97477693,11.85777198,173.58,4.26
HR 6546,,17.60912409,-38.63486521,144.07,4.26
HR 6729,,18.02511192,21.59568814,470.65,4.26
HR 8417,,22.06310052,64.62775425,101.7,4.26
HR 294,,1.04907107,7.89007256,190.29,4.27
HR 813,,2.7489926,10.11421979,84.26,4.27
HR 1320,,4.25890144,8.89240989,434.88,4.27
HR 1473,,4.63594491,12.51087423,149.68,4.27
HR 1497,,4.7040843,22.95697545,400.69,4.27
HR 4942,,13.11518417,-49.90621586,411.82,4.27
HR 5683,,15.30890239,-47.87519201,290.7,4.27
HR 7343,,19.38696127,-44.79964788,138.67,4.27
HR 7948,,20.77764388,16.12477326,101.48,4.27
HR 8916,,23.46615772,6.37909727,158.79,4.27
HR 1392,,4.43844298,22.81369394,154.8,4.28
HR 3751,,9.61815331,81.32642085,1076.45,4.28
HR 4104,,10.4525433,-31.06780228,366.48,4.28
HR 6492,,17.45590667,-29.86669942,111.47,4.28
HR 7740,,20.22327809,56.56752223,152.34,4.28
HR 8167,,21.3707715,-16.83455521,215.57,4.28
HR 8454,,22.16645906,33.17826747,251.67,4.28
HR 8787,,23.1146579,-43.52032436,133.07,4.28
HR 1101,,3.61458859,0.40283316,44.75,4.29
HR 1756,,5.32625721,-13.17677698,1076.45,4.29
HR 4180,,10.65511459,-55.60327905,901,4.29
HR 4552,,11.88182257,-33.90813014,365.24,4.29
HR 5903,,15.73429554,77.79449901,375.76,4.29
HR 6147,,16.51899859,-16.61264015,210.02,4.29
HR 8418,,22.10727926,-13.86954013,172.57,4.29
HR 8576,,22.52508043,-32.34602798,148.32,4.29
HR 8965,,23.63560531,43.2680761,502.56,4.29
HR 280,,0.97676274,-29.35746436,672.5,4.3
HR 718,,2.46931052,8.4600887,176.02,4.3
HR 1145,,3.75346725,24.46737879,372.76,4.3
HR 1189,,3.80995081,-37.62012878,161.23,4.3
HR 1389,,4.42481039,17.92798917,147.92,4.3
HR 2091,,5.99891705,45.93675346,840.63,4.3
HR 3454,,8.72041287,3.39866539,466.61,4.3
HR 4259,,10.92690222,24.74975451,288.9,4.3
HR 4471,,11.61581384,-0.82385424,178.13,4.3
HR 4537,,11.82808001,-63.78848906,459.38,4.3
HR 4775,,12.53457909,-16.19586556,59.39,4.3
HR 5358,,14.33876465,-56.38647906,1186.05,4.3
HR 7747,,20.29412669,-12.50821403,686.66,4.3
HR 3457,,8.67695421,-59.76101468,1411.96,4.31
HR 5339,,14.44881687,-83.66785308,278.77,4.31
HR 5733,,15.4082045,37.37696091,120.98,4.31
HR 5997,,16.1234167,-20.8686541,264.74,4.31
HR 7884,,20.63896486,-1.10507951,383.72,4.31
HR 1087,,3.60815558,48.19270068,699.92,4.32
HR 1496,,4.67402609,-19.67125686,361.2,4.32
HR 1845,,5.53687534,18.59424525,1918.61,4.32
HR 2219,,6.25631571,29.49871224,168.91,4.32
HR 3484,,8.77292429,-13.54770494,226.82,4.32
HR 3773,,9.52867787,22.96806545,336.6,4.32
HR 4599,,12.05047198,-63.31294495,229.85,4.32
HR 4968,,13.1665415,17.52911621,46.72,4.32
HR 5210,,13.86378478,-32.99401625,297.59,4.32
HR 5528,,14.86064536,-43.57529383,407.7,4.32
HR 6446,,17.34712098,-12.846882,193.45,4.32
HR 2854,,7.46939707,8.92550376,397.76,4.33
HR 4375,,11.30351192,31.53685216,33.98,4.33
HR 4888,,12.88527127,-48.94325313,302.84,4.33
HR 5396,,14.43633376,-45.37926095,314.22,4.33
HR 6401,,17.25591313,-26.60004896,19.52,4.33
HR 6745,,18.14299745,-63.66804844,138.5,4.33
HR 6872,,18.33103366,36.06444696,237.9,4.33
